surface_type,material_type,coverage_scenario,surface_albedo,panel_albedo,panel_efficiency,avg_local_temp_anomaly_C,global_temp_change_C,total_co2_reduction_Gt
standard_land,新型光伏 (钙钛矿),0.01%,0.25,0.15,0.25,10.593053555523325,-0.0902241129415925,180.448225883185
standard_land,新型光伏 (钙钛矿),0.1%,0.25,0.15,0.25,10.593053555523325,-0.9022411294159252,1804.4822588318502
standard_land,新型光伏 (钙钛矿),1%,0.25,0.15,0.25,10.593053555523325,-9.022411294159248,18044.822588318497
standard_land,新型光伏 (钙钛矿),10%,0.25,0.15,0.25,10.593053555523325,-90.2241129415925,180448.225883185
standard_land,传统光伏 (晶硅),0.01%,0.25,0.1,0.18,13.162926338129042,-0.06481896098331692,129.63792196663385
standard_land,传统光伏 (晶硅),0.1%,0.25,0.1,0.18,13.162926338129042,-0.6481896098331694,1296.379219666339
standard_land,传统光伏 (晶硅),1%,0.25,0.1,0.18,13.162926338129042,-6.481896098331694,12963.792196663388
standard_land,传统光伏 (晶硅),10%,0.25,0.1,0.18,13.162926338129042,-64.81896098331693,129637.92196663386
standard_land,镜面,0.01%,0.25,0.85,0.0,-6.799170738044105,0.0,0.0
standard_land,镜面,0.1%,0.25,0.85,0.0,-6.799170738044105,0.0,0.0
standard_land,镜面,1%,0.25,0.85,0.0,-6.799170738044105,0.0,0.0
standard_land,镜面,10%,0.25,0.85,0.0,-6.799170738044105,0.0,0.0
standard_land,地表本身,0.01%,0.25,0.25,0.0,11.331951230073507,0.0,0.0
standard_land,地表本身,0.1%,0.25,0.25,0.0,11.331951230073507,0.0,0.0
standard_land,地表本身,1%,0.25,0.25,0.0,11.331951230073507,0.0,0.0
standard_land,地表本身,10%,0.25,0.25,0.0,11.331951230073507,0.0,0.0
desert,新型光伏 (钙钛矿),0.01%,0.4,0.15,0.25,12.866742690371591,-0.09004900544001941,180.09801088003883
desert,新型光伏 (钙钛矿),0.1%,0.4,0.15,0.25,12.866742690371591,-0.9004900544001938,1800.9801088003876
desert,新型光伏 (钙钛矿),1%,0.4,0.15,0.25,12.866742690371591,-9.004900544001941,18009.801088003882
desert,新型光伏 (钙钛矿),10%,0.4,0.15,0.25,12.866742690371591,-90.04900544001939,180098.01088003878
desert,传统光伏 (晶硅),0.01%,0.4,0.1,0.18,15.43456695577114,-0.06469299941862286,129.38599883724572
desert,传统光伏 (晶硅),0.1%,0.4,0.1,0.18,15.43456695577114,-0.6469299941862288,1293.8599883724576
desert,传统光伏 (晶硅),1%,0.4,0.1,0.18,15.43456695577114,-6.469299941862288,12938.599883724577
desert,传统光伏 (晶硅),10%,0.4,0.1,0.18,15.43456695577114,-64.69299941862288,129385.99883724576
desert,镜面,0.01%,0.4,0.85,0.0,-4.532780492029402,0.0,0.0
desert,镜面,0.1%,0.4,0.85,0.0,-4.532780492029402,0.0,0.0
desert,镜面,1%,0.4,0.85,0.0,-4.532780492029402,0.0,0.0
desert,镜面,10%,0.4,0.85,0.0,-4.532780492029402,0.0,0.0
desert,地表本身,0.01%,0.4,0.4,0.0,9.065560984058804,0.0,0.0
desert,地表本身,0.1%,0.4,0.4,0.0,9.065560984058804,0.0,0.0
desert,地表本身,1%,0.4,0.4,0.0,9.065560984058804,0.0,0.0
desert,地表本身,10%,0.4,0.4,0.0,9.065560984058804,0.0,0.0
ocean,新型光伏 (钙钛矿),0.01%,0.08,0.15,0.25,8.016205869361958,-0.09042256811004198,180.84513622008396
ocean,新型光伏 (钙钛矿),0.1%,0.08,0.15,0.25,8.016205869361958,-0.90422568110042,1808.45136220084
ocean,新型光伏 (钙钛矿),1%,0.08,0.15,0.25,8.016205869361958,-9.042256811004199,18084.5136220084
ocean,新型光伏 (钙钛矿),10%,0.08,0.15,0.25,8.016205869361958,-90.422568110042,180845.13622008398
ocean,传统光伏 (晶硅),0.01%,0.08,0.1,0.18,10.588400304801326,-0.06496171742330352,129.92343484660705
ocean,传统光伏 (晶硅),0.1%,0.08,0.1,0.18,10.588400304801326,-0.6496171742330352,1299.2343484660705
ocean,传统光伏 (晶硅),1%,0.08,0.1,0.18,10.588400304801326,-6.496171742330351,12992.343484660703
ocean,传统光伏 (晶硅),10%,0.08,0.1,0.18,10.588400304801326,-64.96171742330353,129923.43484660705
ocean,镜面,0.01%,0.08,0.85,0.0,-9.367746350194098,0.0,0.0
ocean,镜面,0.1%,0.08,0.85,0.0,-9.367746350194098,0.0,0.0
ocean,镜面,1%,0.08,0.85,0.0,-9.367746350194098,0.0,0.0
ocean,镜面,10%,0.08,0.85,0.0,-9.367746350194098,0.0,0.0
ocean,地表本身,0.01%,0.08,0.08,0.0,13.900526842223504,0.0,0.0
ocean,地表本身,0.1%,0.08,0.08,0.0,13.900526842223504,0.0,0.0
ocean,地表本身,1%,0.08,0.08,0.0,13.900526842223504,0.0,0.0
ocean,地表本身,10%,0.08,0.08,0.0,13.900526842223504,0.0,0.0
